Namespace,Hash,Function Name,Parameters,Return Type,Description
AUDIO,0x5B50ABB1FE3746F4,_HAS_MULTIPLAYER_AUDIO_DATA_UNLOADED,,BOOL,"```
HAS_*
```"
AUDIO,0xFB380A29641EC31A,HINT_SCRIPT_AUDIO_BANK,"p0:Any, p1:int",Any,"```
NativeDB Added Parameter 3: Any p2
```"
AUDIO,0xA018A12E5C5C2FA6,INTERRUPT_CONVERSATION,"p0:Any, p1:Any*, p2:Any*",void,
AUDIO,0xFCBDCE714A7C88E5,HAS_SOUND_FINISHED,soundId:int,BOOL,
AUDIO,0x8A694D7A68F8DC38,INTERRUPT_CONVERSATION_AND_PAUSE,"ped:Ped, p1:char*, p2:char*",void,"```
One call found in the b617d scripts:
AUDIO::_8A694D7A68F8DC38(NETWORK::NET_TO_PED(l_3989._f26F[0/*1*/]), ""CONV_INTERRUPT_QUIT_IT"", ""LESTER"");
```"
AUDIO,0x226435CB96CCFC8C,IS_ALARM_PLAYING,alarmName:char*,BOOL,"```
Example:  
bool playing = AUDIO::IS_ALARM_PLAYING(""PORT_OF_LS_HEIST_FORT_ZANCUDO_ALARMS"");  
```"
AUDIO,0x9072C8B49907BFAD,IS_AMBIENT_SPEECH_PLAYING,ped:Ped,BOOL,
AUDIO,0x932C2D096A2C3FFF,IS_AMBIENT_SPEECH_DISABLED,ped:Ped,BOOL,"```
Common in the scripts:  
AUDIO::IS_AMBIENT_SPEECH_DISABLED(PLAYER::PLAYER_PED_ID());  
```"
AUDIO,0xC265DF9FB44A9FBD,IS_ANIMAL_VOCALIZATION_PLAYING,pedHandle:Ped,BOOL,
AUDIO,0x01E2817A479A7F9B,IS_AMBIENT_ZONE_ENABLED,ambientZone:char*,BOOL,
AUDIO,0xB65B60556E2A9225,IS_AUDIO_SCENE_ACTIVE,scene:char*,BOOL,
AUDIO,0x729072355FA39EC9,IS_ANY_SPEECH_PLAYING,ped:Ped,BOOL,
AUDIO,0x9D6BFC12B05C6121,IS_HORN_ACTIVE,vehicle:Vehicle,BOOL,"```
Checks whether the horn of a vehicle is currently played.  
```"
AUDIO,0x6D28DC1671E334FD,IS_GAME_IN_CONTROL_OF_MUSIC,,BOOL,"```
Hardcoded to return 1  
```"
AUDIO,0x19A30C23F5827F8A,IS_MISSION_COMPLETE_PLAYING,,BOOL,
AUDIO,0x6F259F82D873B8B8,IS_MISSION_COMPLETE_READY_FOR_UI,,BOOL,
AUDIO,0x66E49BF55B4B1874,IS_MISSION_NEWS_STORY_UNLOCKED,newsStory:int,BOOL,
AUDIO,0xB35CE999E8EF317E,IS_MOBILE_PHONE_RADIO_ACTIVE,,BOOL,
AUDIO,0x7497D2CE2C30D24C,IS_MOBILE_PHONE_CALL_ONGOING,,BOOL,
AUDIO,0xA097AB275061FB21,IS_MUSIC_ONESHOT_PLAYING,,BOOL,
AUDIO,0x1E8E5E20937E3137,IS_PED_RINGTONE_PLAYING,ped:Ped,BOOL,
AUDIO,0x0626A247D2405330,IS_RADIO_FADED_OUT,,BOOL,
AUDIO,0x049E937F18F4020C,IS_PED_IN_CURRENT_CONVERSATION,ped:Ped,BOOL,
AUDIO,0xDF0D54BE7A776737,IS_SCRIPTED_CONVERSATION_LOADED,,BOOL,
AUDIO,0x5F43D83FD6738741,IS_PLAYER_VEH_RADIO_ENABLE,,BOOL,
AUDIO,0x2B1784DB08AFEA79,_IS_RADIO_STATION_VISIBLE,radioStation:char*,BOOL,"```
NativeDB Introduced: v2699
```"
AUDIO,0xA151A7394A214E65,IS_RADIO_RETUNING,,BOOL,
AUDIO,0xCC9AA18DCC7084F4,IS_SCRIPTED_SPEECH_PLAYING,p0:Any,BOOL,
AUDIO,0x16754C556D2EDE3D,IS_SCRIPTED_CONVERSATION_ONGOING,,BOOL,
AUDIO,0x5DB8010EE71FDEF2,IS_VEHICLE_AUDIBLY_DAMAGED,vehicle:Vehicle,BOOL,
AUDIO,0xD11FA52EB849D978,IS_STREAM_PLAYING,,BOOL,
AUDIO,0x032A116663A4D5AC,_IS_VEHICLE_RADIO_LOUD,vehicle:Vehicle,BOOL,
AUDIO,0x651D3228960D08AF,_LINK_STATIC_EMITTER_TO_ENTITY,"emitterName:char*, entity:Entity",void,"```
L* (LINK_*?)
```"
AUDIO,0x0BE4BE946463F917,_IS_VEHICLE_RADIO_ENABLED,vehicle:Vehicle,BOOL,"```
IS_VEHICLE_*
```"
AUDIO,0x1F1F957154EC51DF,LOAD_STREAM,"streamName:char*, soundSet:char*",BOOL,"```
Example:  
AUDIO::LOAD_STREAM(""CAR_STEAL_1_PASSBY"", ""CAR_STEAL_1_SOUNDSET"");  
All found occurrences in the b678d decompiled scripts: pastebin.com/3rma6w5w  
Stream names often ends with ""_MASTER"", ""_SMALL"" or ""_STREAM"". Also ""_IN"", ""_OUT"" and numbers.     
soundSet is often set to 0 in the scripts. These are common to end the soundSets: ""_SOUNDS"", ""_SOUNDSET"" and numbers.  
```"
AUDIO,0x59C16B79F53B3712,LOAD_STREAM_WITH_START_OFFSET,"streamName:char*, startOffset:int, soundSet:char*",BOOL,"```
Example:  
AUDIO::LOAD_STREAM_WITH_START_OFFSET(""STASH_TOXIN_STREAM"", 2400, ""FBI_05_SOUNDS"");  
Only called a few times in the scripts.  
```"
AUDIO,0x477D9DB48F889591,_LOCK_RADIO_STATION,"radioStationName:char*, toggle:BOOL",void,"```
Disables the radio station (hides it from the radio wheel).

NativeDB Introduced: v1493
```"
AUDIO,0x0150B6FF25A9E2E5,,,void,
AUDIO,0xFF5E5EA2DCEEACF3,_LOCK_RADIO_STATION_TRACK_LIST,"radioStation:char*, trackListName:char*",void,"```
NativeDB Introduced: v2372
```"
AUDIO,0x02E93C796ABD3A97,,p0:BOOL,void,"**This native does absolutely nothing, just a nullsub**"
AUDIO,0x062D5EAD4DA2FA6A,,,void,"```
FORCE_*
```"
AUDIO,0x11579D940949C49E,,p0:Any,void,
AUDIO,0x0B568201DD99F0EB,,p0:BOOL,void,
AUDIO,0x19AF7ED9B9D23058,,,void,
AUDIO,0x159B7318403A1CD8,,p0:Any,void,
AUDIO,0x1C073274E065C6D2,,"vehicle:Vehicle, toggle:BOOL",void,"```
ENABLE_VEHICLE_*
```"
AUDIO,0x149AEE66F0CB3A99,,"p0:float, p1:float",void,
AUDIO,0x1B7ABE26CBCBF8C7,,"ped:Ped, p1:Any, p2:Any",void,
AUDIO,0x2ACABED337622DF2,,p0:char*,void,"```
NativeDB Introduced: v1493
```"
AUDIO,0x2DD39BF3E2F9C47F,,,Any,"```
NativeDB Introduced: v463
```"
AUDIO,0x30CA2EF91D15ADF8,,,Any,"```
NativeDB Introduced: v2189
```"
AUDIO,0x3A48AB4445D499BE,,,Any,
AUDIO,0x40763EA7B9B783E7,,"p0:char*, p1:int, p2:int",Any,
AUDIO,0x33E3C6C6F2F0B506,,"p0:Any, p1:float, p2:float, p3:float",void,
AUDIO,0x43FA0DFC5DF87815,,"vehicle:Vehicle, p1:BOOL",void,
AUDIO,0x58BB377BEC7CD5F4,,"p0:BOOL, p1:BOOL",void,
AUDIO,0x55ECF4D13D9903B0,,"p0:Any, p1:Any, p2:Any, p3:Any",void,"```
NativeDB Introduced: v1868
```"
AUDIO,0x5D2BFAAB8D956E0E,,,void,
AUDIO,0x5B9853296731E88D,,"p0:Any, p1:Any, p2:Any, p3:Any, p4:Any, p5:Any",void,
AUDIO,0x61631F5DF50D1C34,,p0:BOOL,void,
AUDIO,0x6FDDAD856E36988A,,"vehicle:Vehicle, toggle:BOOL",void,"```
SET_P*
```"
AUDIO,0x7EC3C679D0E7E46B,,"p0:Any, p1:Any, p2:Any, p3:Any",void,
AUDIO,0x70B8EC8FC108A634,,"p0:BOOL, p1:Any",void,
AUDIO,0x892B6AB8F33606F5,,"p0:int, entity:Entity",void,
AUDIO,0x8BF907833BE275DE,,"p0:float, p1:float",void,
AUDIO,0x9AC92EED5E4793AB,,,void,
AUDIO,0x97FFB4ADEED08066,,"p0:Any, p1:Any",void,"```
NativeDB Introduced: v2372
```"
AUDIO,0x9BD7BD55E4533183,,"p0:Any, p1:Any, p2:Any",void,"```
NativeDB Introduced: v1290
```"
AUDIO,0x9D3AF56E94C9AE98,,"vehicle:Vehicle, p1:float",void,"```
SET_H*
```"
AUDIO,0xA8A7D434AFB4B97B,,"p0:char*, p1:int",void,"```
NativeDB Introduced: v1493
```"
AUDIO,0xAA19F5572C38B564,,p0:Any*,Any,
AUDIO,0xB81CF134AEB56FFB,,,void,
AUDIO,0xB542DE8C3D1CB210,,p0:BOOL,void,
AUDIO,0xAB6781A5F3101470,,"p0:Any, p1:Any",void,"```
NativeDB Introduced: v1868
```"
AUDIO,0xBEF34B1D9624D5DD,,p0:BOOL,void,
AUDIO,0xC64A06D939F826F5,,"p0:float*, p1:float*, p2:int*",BOOL,"```
GET_NE*

NativeDB Introduced: v1493
```"
AUDIO,0xC1805D05E6D4FE10,,vehicle:Vehicle,void,"```
SET_VEH*
```"
AUDIO,0xBF4DC1784BE94DFA,,"ped:Ped, p1:BOOL, hash:Hash",void,
AUDIO,0xC8EDE9BDBCCBA6D4,,"p0:Any*, p1:float, p2:float, p3:float",void,
AUDIO,0xC8B1B2425604CDD0,,,BOOL,"```
IS_MOBILE_PHONE_*
```"
AUDIO,0xD2DCCD8E16E20997,,p0:Any,void,
AUDIO,0xDD6BCF9E94425DF9,,,void,"```
Tune Backwards... ?
SET_RADIO_*
```"
AUDIO,0xDA07819E452FFE8F,,p0:Any,void,
AUDIO,0xF3365489E0DD50F9,,"vehicle:Vehicle, toggle:BOOL",void,"```
SET_VEHICLE_*
```"
AUDIO,0xE4E6DD5566D28C82,,,void,"```
STOP_S*
```"
AUDIO,0xF8AD2EED7C47E8FE,,"ped:Ped, p1:BOOL, p2:BOOL",void,"BL\*

```
NativeDB Introduced: v1734
```"
AUDIO,0xFF266D1D0EB1195D,,,void,"```
Tune Forward... ?
SET_RADIO_*
```"
AUDIO,0x75773E11BA459E90,_OVERRIDE_MICROPHONE_SETTINGS,"hash:Hash, toggle:BOOL",void,"Sets audio flag ""OverrideMicrophoneSettings"""
AUDIO,0xD2CC78CD3D0B50F9,OVERRIDE_PLAYER_GROUND_MATERIAL,"hash:Hash, toggle:BOOL",void,
AUDIO,0x13AD665062541A7E,OVERRIDE_TREVOR_RAGE,voiceEffect:char*,void,"This native enables the audio flag ""TrevorRageIsOverridden"" and sets the voice effect to `voiceEffect`"
AUDIO,0xF2A9CDABCEA04BD6,OVERRIDE_UNDERWATER_STREAM,"p0:Any*, p1:BOOL",void,
AUDIO,0x3CDC1E622CCE0356,OVERRIDE_VEH_HORN,"vehicle:Vehicle, override:BOOL, hornHash:int",void,"Overrides the vehicle's horn hash.

When changing this hash on a vehicle, [`_GET_VEHICLE_HORN_HASH`](#\_0xACB5DCCA1EC76840) will **not** return the 'overwritten' hash. It will still always return the default horn hash (same as [`GET_VEHICLE_DEFAULT_HORN`](#\_0x02165D55000219AC)).

List of possible hashes (found in decompiled scripts):

|        signed |     unsigned |      hex     |
|--------------:|-------------:|:------------:|
|  `1604822495` | `1604822495` | `0x5FA7A5DF` |
| `-1262465009` | `3032502287` | `0xB4C0500F` |
|  `-889553789` | `3405413507` | `0xCAFA7C83` |
| `-1557943086` | `2737024210` | `0xA323ACD2` |
| `-1318696617` | `2976270679` | `0xB1664957` |
|    `-7740003` | `4287227293` | `0xFF89E59D` |
| `-1815146967` | `2479820329` | `0x93CF0E29` |
|  `-339919356` | `3955047940` | `0xEBBD3E04` |"
AUDIO,0xED640017ED337E45,PLAY_AMBIENT_SPEECH_FROM_POSITION_NATIVE,"speechName:char*, voiceName:char*, x:float, y:float, z:float, speechParam:char*",void,
AUDIO,0x8530AD776CD72B12,PAUSE_SCRIPTED_CONVERSATION,p0:BOOL,void,
AUDIO,0xEE066C7006C49C0A,PLAY_ANIMAL_VOCALIZATION,"pedHandle:Ped, p1:int, speechName:char*",void,"```
Plays sounds from a ped with chop model. For example it used to play bark or sniff sounds. p1 is always 3 or 4294967295 in decompiled scripts. By a quick disassembling I can assume that this arg is unused.
This native is works only when you call it on the ped with right model (ac_chop only ?)
Speech Name can be: CHOP_SNIFF_SEQ CHOP_WHINE CHOP_LICKS_MOUTH CHOP_PANT bark GROWL SNARL BARK_SEQ
```"
AUDIO,0xCADA5A0D0702381E,PLAY_DEFERRED_SOUND_FRONTEND,"soundName:char*, soundsetName:char*",void,"```
Only call found in the b617d scripts:
AUDIO::PLAY_DEFERRED_SOUND_FRONTEND(""BACK"", ""HUD_FREEMODE_SOUNDSET"");
```"
AUDIO,0xB138AAB8A70D3C69,PLAY_MISSION_COMPLETE_AUDIO,audioName:char*,void,"```
Called 38 times in the scripts. There are 5 different audioNames used.
 One unknown removed below.
AUDIO::PLAY_MISSION_COMPLETE_AUDIO(""DEAD"");
AUDIO::PLAY_MISSION_COMPLETE_AUDIO(""FRANKLIN_BIG_01"");
AUDIO::PLAY_MISSION_COMPLETE_AUDIO(""GENERIC_FAILED"");
AUDIO::PLAY_MISSION_COMPLETE_AUDIO(""TREVOR_SMALL_01"");
```"
AUDIO,0xCD536C4D33DCC900,PLAY_END_CREDITS_MUSIC,play:BOOL,void,
AUDIO,0x8E04FEDD28D42462,PLAY_PED_AMBIENT_SPEECH_NATIVE,"ped:Ped, speechName:char*, speechParam:char*",void,"Plays ambient speech; see also [`PLAY_PED_AMBIENT_SPEECH_AND_CLONE_NATIVE`](#\_0xC6941B4A3A8FBBB9).

```
speechParam: Can be one of the following:
SPEECH_PARAMS_STANDARD
SPEECH_PARAMS_ALLOW_REPEAT
SPEECH_PARAMS_BEAT
SPEECH_PARAMS_FORCE
SPEECH_PARAMS_FORCE_FRONTEND
SPEECH_PARAMS_FORCE_NO_REPEAT_FRONTEND
SPEECH_PARAMS_FORCE_NORMAL
SPEECH_PARAMS_FORCE_NORMAL_CLEAR
SPEECH_PARAMS_FORCE_NORMAL_CRITICAL
SPEECH_PARAMS_FORCE_SHOUTED
SPEECH_PARAMS_FORCE_SHOUTED_CLEAR
SPEECH_PARAMS_FORCE_SHOUTED_CRITICAL
SPEECH_PARAMS_FORCE_PRELOAD_ONLY
SPEECH_PARAMS_MEGAPHONE
SPEECH_PARAMS_HELI
SPEECH_PARAMS_FORCE_MEGAPHONE
SPEECH_PARAMS_FORCE_HELI
SPEECH_PARAMS_INTERRUPT
SPEECH_PARAMS_INTERRUPT_SHOUTED
SPEECH_PARAMS_INTERRUPT_SHOUTED_CLEAR
SPEECH_PARAMS_INTERRUPT_SHOUTED_CRITICAL
SPEECH_PARAMS_INTERRUPT_NO_FORCE
SPEECH_PARAMS_INTERRUPT_FRONTEND
SPEECH_PARAMS_INTERRUPT_NO_FORCE_FRONTEND
SPEECH_PARAMS_ADD_BLIP
SPEECH_PARAMS_ADD_BLIP_ALLOW_REPEAT
SPEECH_PARAMS_ADD_BLIP_FORCE
SPEECH_PARAMS_ADD_BLIP_SHOUTED
SPEECH_PARAMS_ADD_BLIP_SHOUTED_FORCE
SPEECH_PARAMS_ADD_BLIP_INTERRUPT
SPEECH_PARAMS_ADD_BLIP_INTERRUPT_FORCE
SPEECH_PARAMS_FORCE_PRELOAD_ONLY_SHOUTED
SPEECH_PARAMS_FORCE_PRELOAD_ONLY_SHOUTED_CLEAR
SPEECH_PARAMS_FORCE_PRELOAD_ONLY_SHOUTED_CRITICAL
SPEECH_PARAMS_SHOUTED
SPEECH_PARAMS_SHOUTED_CLEAR
SPEECH_PARAMS_SHOUTED_CRITICAL
Note: A list of Name and Parameters can be found here pastebin.com/1GZS5dCL
```

```
NativeDB Added Parameter 4: Any p3
```"
AUDIO,0xBC9AE166038A5CEC,PLAY_PAIN,"ped:Ped, painID:int, p1:int",void,"**Warning**:

Parameters are wrong after painID. To preserve C-Sharp backwards compatibility, we can't add or remove parameters.

Correct parameters should be:\
`PLAY_PAIN(Ped ped, int painID, float p3, bool createNetEvent)`

Check the *examples* section for the correct usage of this native.

**Description:**

Plays a pain sound. A maximum of 33 pain IDs are allowed.\
`createNetEvent` creates a `CPedPlayPainEvent` when set to true.

Below is a list of all the pain IDs (Asterisks indicate that sounds can play in a Low, Medium or High fashion), for example: `PAIN_LOW_GENERIC`. The corresponding pain strings belong to the game exe.

**Pain IDs:**

*   0: PAIN_\*\_GENERIC (Low, Medium, High)
*   1: UNUSED
*   2: UNUSED
*   3: SCREAM_PANIC (Nothing can be heard)
*   4: SCREAM_PANIC_SHORT
*   5: SCREAM_SCARED
*   6: SCREAM_SHOCKED
*   7: SCREAM_TERROR
*   8: ON_FIRE
*   9: UNUSED
*   10: UNUSED
*   11: INHALE (Nothing can be heard)
*   12: EXHALE (Nothing can be heard)
*   13: DEATH_HIGH_SHORT
*   14: UNUSED
*   15: PAIN_HIGH_GENERIC
*   16: PAIN_\*\_GENERIC (Low, Medium, High)
*   17: PAIN_SHOVE
*   18: PAIN_WHEEZE
*   19: COUGH
*   20: PAIN_TAZER
*   21: UNUSED
*   22: CLIMB_LARGE (Nothing can be heard)
*   23: CLIMB_SMALL (Nothing can be heard)
*   24: JUMP (Nothing can be heard)
*   25: COWER
*   26: WHIMPER
*   27: DYING_MOAN
*   28: EXHALE_CYCLING (Nothing can be heard)
*   29: PAIN_RAPIDS (Nothing can be heard)
*   30: SNEEZE
*   31: MELEE_SMALL_GRUNT (Nothing can be heard)
*   32: MELEE_LARGE_GRUNT (Nothing can be heard)
*   33: PAIN_\*\_GENERIC (Low, Medium, High)"
AUDIO,0xF9E56683CA8E11A5,PLAY_PED_RINGTONE,"ringtoneName:char*, ped:Ped, p2:BOOL",void,"```
All found occurrences in b617d, sorted alphabetically and identical lines removed: pastebin.com/RFb4GTny  
AUDIO::PLAY_PED_RINGTONE(""Remote_Ring"", PLAYER::PLAYER_PED_ID(), 1);  
AUDIO::PLAY_PED_RINGTONE(""Dial_and_Remote_Ring"", PLAYER::PLAYER_PED_ID(), 1);  
```"
AUDIO,0xC6941B4A3A8FBBB9,PLAY_PED_AMBIENT_SPEECH_AND_CLONE_NATIVE,"ped:Ped, speechName:char*, speechParam:char*",void,"See [`PLAY_PED_AMBIENT_SPEECH_NATIVE`](#\_0x8E04FEDD28D42462) for parameter specifications.

```
NativeDB Added Parameter 4: Any p3
```"
AUDIO,0xDFEBD56D9BD1EB16,PLAY_POLICE_REPORT,"name:char*, p1:float",int,"```
Plays the given police radio message.
All found occurrences in b617d, sorted alphabetically and identical lines removed: pastebin.com/GBnsQ5hr
```"
AUDIO,0x7FF4944CC209192D,PLAY_SOUND,"soundId:int, audioName:char*, audioRef:char*, p3:BOOL, p4:Any, p5:BOOL",void,"```
All found occurrences in b617d, sorted alphabetically and identical lines removed: pastebin.com/A8Ny8AHZ  
```"
